canonical,key_without_year,designation,prefix,number,part,section,year,title,division,section_name,committee,status,product_category,scheme,amendments,superseded_by_text,sources,archive_identifier,archive_url,license_url,text_path,pdf_path,has_full_text,is_compulsory,is_current,superseded_by
IS|10027|None|None|2018|None,IS|10027|None|None,IS 10027:2018,IS,10027,,,2018,IS 10027 : 2018: Composite Units of Air-Break Switches and Rewirable Type  Fuses for Voltages Not Exceeding 650 V a.c. — Specification ( Second Revision ),,,,published,,,0,,['ARCHIVE_ORG'],gov.in.is.10027.2018,https://archive.org/details/gov.in.is.10027.2018,,bis_data\archive\text\gov.in.is.10027.2018.txt,,True,False,True,
IS|10028|1|None|1985|None,IS|10028|1|None,IS 10028 (Part 1):1985,IS,10028,1.0,,1985,"IS 10028-1: Code of Practice for Selection, Installation and Maintenance of Transformers, Part 1: Selection",</b> Electrotechnical<br /><b>,</b> Transformers (ETD 16)<br /><br /><b>,ETD 16,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10028.1.1985,https://archive.org/details/gov.in.is.10028.1.1985,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10028.1.1985.txt,,True,False,True,
IS|10028|2|None|1981|None,IS|10028|2|None,IS 10028 (Part 2):1981,IS,10028,2.0,,1981,"IS 10028-2: Code of practice for selection, installation and maintenance of transformers; Part 2 Installation",</b> Electrotechnical<br /><b>,</b> Transformers (ETD 16)<br /><br /><b>,ETD 16,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10028.2.1981,https://archive.org/details/gov.in.is.10028.2.1981,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10028.2.1981.txt,,True,False,True,
IS|10028|3|None|1981|None,IS|10028|3|None,IS 10028 (Part 3):1981,IS,10028,3.0,,1981,"IS 10028-3: Code of practice for selection, installation and maintenance of transformers, Part 3: Maintenance",</b> Electrotechnical<br /><b>,</b> Transformers (ETD 16)<br /><br /><b>,ETD 16,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10028.3.1981,https://archive.org/details/gov.in.is.10028.3.1981,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10028.3.1981.txt,,True,False,True,
IS|10029|None|None|1981|None,IS|10029|None|None,IS 10029:1981,IS,10029,,,1981,IS 10029: Methods for sensory evaluation of sweetened condensed milk,</b> Food and Agriculture<br /><b>,</b> Dairy Products and Equipment (FAD 19)<br /><br /><b>,FAD 19,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10029.1981,https://archive.org/details/gov.in.is.10029.1981,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10029.1981.txt,,True,False,True,
IS|10030|None|None|1981|None,IS|10030|None|None,IS 10030:1981,IS,10030,,,1981,IS 10030: Methods for sensory evaluation of milk powder,</b> Food and Agriculture<br /><b>,</b> Dairy Products and Equipment (FAD 19)<br /><br /><b>,FAD 19,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10030.1981,https://archive.org/details/gov.in.is.10030.1981,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10030.1981.txt,,True,False,True,
IS|10031|None|None|1981|None,IS|10031|None|None,IS 10031:1981,IS,10031,,,1981,IS 10031: Taper barreled delivery spools for covered round electrical winding wires,</b> Electrotechnical<br /><b>,</b> Winding Wire (ETD 33)<br /><br /><b>,ETD 33,published,,,0,"</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda <br /><br /><p><b style=""color:#FF0000;"">ATTENTION!</b> This standard, Indian Standard IS 10031:1981, has been declared to be <b>WITHDRAWN</b> is thus no longer active.  Superceding standard: .</p>",['ARCHIVE_ORG'],gov.in.is.10031.1981,https://archive.org/details/gov.in.is.10031.1981,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10031.1981.txt,,True,False,True,
IS|10032|None|None|1981|None,IS|10032|None|None,IS 10032:1981,IS,10032,,,1981,IS 10032: Organic no bake binders for use in foundries,</b> Metallurgical Engineering<br /><b>,</b> Foundry (MTD 14)<br /><br /><b>,MTD 14,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10032.1981,https://archive.org/details/gov.in.is.10032.1981,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10032.1981.txt,,True,False,False,IS 10032:2013
IS|10032|None|None|2013|None,IS|10032|None|None,IS 10032:2013,IS,10032,,,2013,IS 10032 : 2013: Organic No Bake (Self Setting) Binders for Use in Foundries,,,,published,,,0,,['ARCHIVE_ORG'],gov.in.is.10032.2013,https://archive.org/details/gov.in.is.10032.2013,,bis_data\archive\text\gov.in.is.10032.2013.txt,,True,False,True,
IS|10033|None|None|1992|None,IS|10033|None|None,IS 10033:1992,IS,10033,,,1992,IS 10033: Zircon and Graphite based core and mould washes,</b> Metallurgical Engineering<br /><b>,</b> Foundry (MTD 14)<br /><br /><b>,MTD 14,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10033.1992,https://archive.org/details/gov.in.is.10033.1992,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10033.1992.txt,,True,False,True,
